concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
Hen,is-domestic,16,30,16,4,18
Ewes,is-Sheep,12,30,12,4,21
Oysters,is-shellfish,6,31,5.806451613,4,24
cattle,can-cultivate land,17,31,16.4516129,4,31
Bacon,need-fry,7,31,6.774193548,4,18
Bacon,can-grill,6,31,5.806451613,4,18
leather jacket,has-collar,7,30,7,4,16
gym shoes,has-Shoelace,18,30,18,4,16
Squab,can-grill,7,30,7,4,16
Oysters,is-shellfish,6,30,6,4,24
lion,has-sharp teeth,6,30,6,4,23
Clock,can-see time,7,30,7,4,22
Jellyfish,like-octopus,6,30,6,4,29
Metasequoia,can-Clean Air,6,30,6,4,19
Swan,has-Neck,7,31,6.774193548,4,18
ostrich,has-Neck,7,30,7,4,16
Tomatoes,can-eat raw,9,31,8.709677419,4,22
Tomatoes,has-Juice,6,31,5.806451613,4,22
chimpanzee,is-Primates,6,30,6,4,18
panda,need-Bamboo,22,29,22.75862069,4,23
duck,is-domestic,18,29,18.62068966,4,17
Alpaca,has-Neck,7,30,7,4,21
hare,is-Grass Food,6,30,6,4,21
gym shoes,has-Shoelace,19,29,19.65517241,4,16
spider,like-octopus,6,30,6,4,17
nail,can-Protect Your Hand,16,30,16,4,17
clock,can-see time,7,29,7.24137931,4,22
Cushion,has-Cotton,8,28,8.571428571,4,17
Bus,like-bread,7,29,7.24137931,3,28
white-barked pine,like-Pine,8,30,8,3,16
Cypress,like-Pine,8,28,8.571428571,3,16
zebra,has-stripe,11,28,11.78571429,3,25
zebra,need-breath,7,28,7.5,3,25
leopard,has-spots,6,30,6,3,40
glass,can-hold things,11,30,11,3,19
Refrigerator,can-Keep Fresh,14,31,13.5483871,3,18
Refrigerator,like-Wardrobe,6,31,5.806451613,3,18
Knife,can-Cut Vegetables,8,30,8,3,25
Knife,like-fruit knife,6,30,6,3,25
soybean,like-pearl,7,30,7,3,26
Timber wolf,like-Dog,13,30,13,3,24
Timber wolf,has-four legs,6,30,6,3,24
Carp,like-tape,7,29,7.24137931,3,32
knife,can-Cut Vegetables,14,31,13.5483871,3,25
Refrigerator,can-Keep Fresh,10,30,10,3,18
goose,like-chicken,7,30,7,3,17
tomato,like-lantern,8,30,8,3,17
Touring car,is-House,18,30,18,3,18
Touring car,can-Travel,6,30,6,3,18
Touring car,need-Repair,6,30,6,3,18
Cock,is-Chicken,8,30,8,3,20
Dog,can-Housekeeping,8,29,8.275862069,3,22
millet,like-wheat,15,30,15,3,17
millet,is-Crops,6,30,6,3,17
shrub,is-Short,18,30,18,3,17
shrub,like-Tree,12,30,12,3,17
pot,has-lid,7,30,7,3,16
Seagull,is-Offshore,7,30,7,3,16
Jellyfish,need-fishing,8,31,7.741935484,3,29
fox,like-Dog,16,30,16,3,17
Cucurbit,like-towel gourd,9,30,9,3,21
cucumber,like-towel gourd,13,30,13,3,21
cucumber,is-Strip,7,30,7,3,21
egg,has-egg white,24,31,23.22580645,3,17
egg,can-hatch,19,31,18.38709677,3,17
Dinosaur,like-Lizard,7,30,7,3,17
Sunflower,has-Seeds,7,29,7.24137931,3,30
Sausage,is-Pork*,8,30,8,3,18
Bacon,is-Pork*,6,30,6,3,18
Blueberry,is-Blue,19,30,19,3,16
Blueberry,like-Grape,10,30,10,3,16
Blueberry,like-strawberry,9,30,9,3,16
wolf,like-Dog,14,29,14.48275862,3,22
mouse,can-Hole,8,30,8,3,25
Cheetah,has-spots,7,30,7,3,25
Durian,like-hedgehog,15,30,15,3,16
tyre,can-Scroll,23,54,12.77777778,3,17
tyre,like-Ring,7,54,3.888888889,3,17
tyre,has-Stripe,7,54,3.888888889,3,17
Snail,like-Snail,12,30,12,3,20
Snail,need-fishing,6,30,6,3,20
Python,is-cold blood,6,47,3.829787234,3,30
Yak,has-horn,10,30,10,3,18
The sperm whale,need-Fish,7,30,7,3,19
Hen,can-lay eggs,22,30,22,3,18
Hen,can-hatch,6,30,6,3,18
Ewes,can-produce milk,7,30,7,3,21
cattle,like-sheep,6,31,5.806451613,3,31
cattle,has-horn,6,31,5.806451613,3,31
Belt,is-Strip,6,30,6,3,22
leather jacket,is-jacket,6,30,6,3,16
penguin,need-Fish,8,31,7.741935484,3,17
Squab,like-chicken,6,30,6,3,16
Mulberry,like-Grape,14,30,14,3,17
Mulberry,like-strawberry,7,30,7,3,17
snake,is-cold blood,6,31,5.806451613,3,19
Oysters,need-fishing,6,30,6,3,24
rat,can-Hole,8,30,8,3,21
Metasequoia,like-Pine,6,30,6,3,19
rabbit,has-Long Ears,10,30,10,3,35
Rabbit,has-Long Ears,6,30,6,3,35
ostrich,can-lay eggs,6,30,6,3,16
lizard,is-Amphibians,7,50,4.2,3,30
lizard,is-cold blood,6,50,3.6,3,30
chimpanzee,like-Monkey,18,30,18,3,18
mole,can-Hole,6,30,6,3,16
Alpaca,like-sheep,13,30,13,3,21
Alpaca,like-sheep,6,30,6,3,21
onion,is-pungent,7,30,7,3,17
pheasant,is-Chicken,10,29,10.34482759,3,16
hare,has-Long Ears,11,30,11,3,21
hare,has-four legs,6,30,6,3,21
Bus,has-tire,13,29,13.44827586,2,28
Tyrannosaurus Rex,is-Dinosaurs,14,28,15,2,16
Tyrannosaurus Rex,is-extinct,7,28,7.5,2,16
silver birch,like-Poplar,8,30,8,2,19
silver birch,is-tall,6,30,6,2,19
white-barked pine,is-Trees,7,30,7,2,16
Refrigerator,can-Refrigerate,18,31,17.41935484,2,18
Glass,like-Mirror,7,30,7,2,19
Dionaea muscipula,can-Catch Insects,9,30,9,2,16
Knife,can-Cut Meat,8,30,8,2,25
Knife,like-kitchen knife,8,30,8,2,25
Timber wolf,can-Cannibals,8,30,8,2,24
Jujube,has-Nuclear,8,30,8,2,27
Carp,is-Silver,6,29,6.206896552,2,32
knife,can-Cut Meat,6,31,5.806451613,2,25
Refrigerator,can-Refrigerate,24,30,24,2,18
Watermelon,like-watermelon,8,31,7.741935484,2,36
Soybean Milk,like-milk,22,29,22.75862069,2,16
Soybean Milk,is-Breakfast,9,29,9.310344828,2,16
Soybean Milk,is-in the morning,8,29,8.275862069,2,16
moth,like-Butterfly,14,29,14.48275862,2,19
African elephant,has-Long Nose,15,31,14.51612903,2,19
African elephant,has-Ivory,8,31,7.741935484,2,19
Cock,has-Cockcomb,24,30,24,2,20
shrub,can-grow,6,30,6,2,17
Hami melon,like-watermelon,12,30,12,2,17
Hami melon,is-Guar,6,30,6,2,17
Hami melon,has-melon peel,6,30,6,2,17
Seagull,like-Pigeon,12,30,12,2,16
Seaweed,is-brittle,8,29,8.275862069,2,29
panther,is-Leopard,10,29,10.34482759,2,20
Monkey,is-Smart,10,29,10.34482759,2,29
Monkey,like-a-chimpanzee,9,29,9.310344828,2,29
Cucurbit,is-Guar,6,30,6,2,21
birch,like-Poplar,6,30,6,2,16
cattle,like-Buffalo,6,30,6,2,31
egg,need-Chicken,12,31,11.61290323,2,17
egg,like-ping pong ball,8,31,7.741935484,2,17
egg,can-fry,7,31,6.774193548,2,17
Crucian carp,like-carp,7,30,7,2,17
leopard,is-Leopard,8,30,8,2,40
Honeysuckle,like-Chrysanthemum,8,30,8,2,20
whale,like-Shark,15,33,13.63636364,2,18
Koala,like-Bear,9,30,9,2,18
Dinosaur,is-extinct,9,30,9,2,17
Sausage,need-air drying,9,30,9,2,18
The Dachshund,like-Sausage like,10,29,10.34482759,2,19
Durian,is-Tropical,9,30,9,2,16
tyre,like-doughnut,6,54,3.333333333,2,17
tyre,need-to replace,6,54,3.333333333,2,17
carriage,has-Horse,25,30,25,2,17
carriage,need-pull,10,30,10,2,17
Leech,like-earthworms,8,29,8.275862069,2,27
Python,can-Cannibals,6,47,3.829787234,2,30
Python,need-Hibernate,6,47,3.829787234,2,30
Soybean,like-soybean,6,29,6.206896552,2,26
Yak,like-Buffalo,6,30,6,2,18
The sperm whale,like-Shark,7,30,7,2,19
Ewes,can-Produce,6,30,6,2,21
Oysters,like-scallop,6,31,5.806451613,2,24
Belt,need-Punch,7,30,7,2,22
Loquat,like-apricot,7,30,7,2,19
Grape,can-brew wine,9,31,8.709677419,2,20
snake,need-Hibernate,6,31,5.806451613,2,19
Oysters,like-scallop,8,30,8,2,24
Clock,has-secondhand,10,30,10,2,22
mouse,has-Wireless,8,30,8,2,25
Metasequoia,is-tall,6,30,6,2,19
Leech,like-earthworms,9,28,9.642857143,2,27
Leech,has-suction cup,9,28,9.642857143,2,27
Leech,like-Loach,7,28,7.5,2,27
Carriage,has-Horse,28,30,28,2,17
Carriage,need-pull,6,30,6,2,17
pot,is-Cans,11,29,11.37931034,2,16
Swan,like-goose,10,31,9.677419355,2,18
snail,like-tortoise,9,30,9,2,20
watermelon,like-Pillball,11,31,10.64516129,2,36
watermelon,has-Guapu,8,31,7.741935484,2,36
Tomatoes,like-persimmon,7,31,6.774193548,2,22
lizard,like-Gecko,15,50,9,2,30
lizard,can-Discolor,9,50,5.4,2,30
cricket,like-Grasshopper,11,59,5.593220339,2,24
cricket,like-Mantis,6,59,3.050847458,2,24
A variety of Chinese cabbage,is-cabbage,7,30,7,2,17
millet,is-m,8,29,8.275862069,2,17
panda,like-Bear,15,29,15.51724138,2,23
duck,like-goose,9,29,9.310344828,2,17
onion,like-Garlic,8,30,8,2,17
Coconut,is-Tropical,9,30,9,2,18
pheasant,has-Cockcomb,7,29,7.24137931,2,16
grapefruit,like-Pillball,7,30,7,2,17
Jujube,has-Nuclear,8,30,8,2,27
grasshopper,like-Mantis,9,30,9,2,17
spider,can-spit,9,30,9,2,17
nail,need-Trim,16,30,16,2,17
nail,can-grow,8,30,8,2,17
clock,has-secondhand,9,29,9.310344828,2,22
moth,like-carpenterworm,6,28,6.428571429,2,19
Bus,has-Driver,6,29,6.206896552,1,28
silver birch,has-bark,7,30,7,1,19
Refrigerator,can-freeze,18,31,17.41935484,1,18
Refrigerator,can-Save Food,9,31,8.709677419,1,18
Persian cat,is-Cat,10,29,10.34482759,1,18
Persian cat,can-strip,8,29,8.275862069,1,18
Glass,is-silica,7,30,7,1,19
Dionaea muscipula,can-Catch Flies,16,30,16,1,16
Daisy,is-Compositae,14,29,14.48275862,1,16
Scallion,like-leek,7,30,7,1,17
Timber wolf,is-Wolf,12,30,12,1,24
Timber wolf,need-Sheep,8,30,8,1,24
garlic,has-garlic clove,6,30,6,1,16
garlic,has-garlic peel,6,30,6,1,16
knife,has-Knife Back,6,31,5.806451613,1,25
Refrigerator,can-Store Food,6,30,6,1,18
nail,need-Hammer,11,29,11.37931034,1,17
Watermelon,like-pumpkin,8,31,7.741935484,1,36
Watermelon,has-ladle,6,31,5.806451613,1,36
Touring car,has-bed,12,30,12,1,18
Touring car,can-live,6,30,6,1,18
African elephant,is-Elephant,13,31,12.58064516,1,19
African elephant,has-big ears,10,31,9.677419355,1,19
African elephant,is-African,9,31,8.709677419,1,19
dove,can-Letter,9,30,9,1,16
Cock,can-Beep,18,30,18,1,20
Cock,is-Male,9,30,9,1,20
Cock,like-hen,7,30,7,1,20
Bus,like-a bus,6,30,6,1,28
Dog,can-Watchdog,6,29,6.206896552,1,22
Siberian Husky,is-dumb,6,31,5.806451613,1,19
Otarriinae,like-Seal,10,30,10,1,16
Seaweed,is-Lavender,13,29,13.44827586,1,29
Jellyfish,is-Jellyfish,15,31,14.51612903,1,29
Lotus,has-Lotus leaves,9,30,9,1,37
black swan,is-Swan,7,30,7,1,17
black swan,has-Long Neck,6,30,6,1,17
Monkey,like-Ape,7,29,7.24137931,1,29
fox,is-sly,17,30,17,1,17
fox,has-Big Tail,7,30,7,1,17
Cucurbit,is-Cucumber,14,30,14,1,21
Cauliflower,like-broccoli,6,30,6,1,17
Raccoons,is-Bear,13,30,13,1,20
Raccoons,like-Panda,9,30,9,1,20
egg,has-Eggshell,16,31,15.48387097,1,17
egg,like-duck eggs,12,31,11.61290323,1,17
egg,is-egg,9,31,8.709677419,1,17
egg,need-hen,6,31,5.806451613,1,17
Crucian carp,is-Freshwater,6,30,6,1,17
Crucian carp,like-grass carp,6,30,6,1,17
Rat,is-Mouse,20,30,20,1,21
Honeysuckle,can-Detox,6,30,6,1,20
Honeysuckle,can-Clear Heat,6,30,6,1,20
Chrysanthemum,like-Sunflower,11,31,10.64516129,1,19
Koala,is-Australian,16,30,16,1,18
Cushion,can-depend on,13,31,12.58064516,1,17
Cushion,like-pillow,12,31,11.61290323,1,17
Cushion,can-depend,7,31,6.774193548,1,17
Guppy,like-Peacock,12,28,12.85714286,1,17
Sausage,has-intestinal coat,6,30,6,1,18
wolf,is-gregarious,11,29,11.37931034,1,22
carp,like-Carassius auratus,7,30,7,1,32
carp,like-Goldfish,6,30,6,1,32
litchi,like-Longan,11,31,10.64516129,1,17
Lotus,is-Lotus,9,30,9,1,37
Lotus,has-lotus seeds,6,30,6,1,37
hound,can-train,6,30,6,1,21
Totoro,is-Animation,11,29,11.37931034,1,16
Totoro,is-Role,6,29,6.206896552,1,16
mule,like-donkey,24,30,24,1,16
mule,is-Hybrid,7,30,7,1,16
Snail,is-TEDA SCREW,11,30,11,1,20
carriage,need-person,8,30,8,1,17
carriage,can-pull stuffs,6,30,6,1,17
Leech,is-Hirudo,7,29,7.24137931,1,27
Leech,is-Link Class,6,29,6.206896552,1,27
Python,is-terrible,8,47,5.106382979,1,30
Python,need-Away,6,47,3.829787234,1,30
Yak,like-Cattle,6,30,6,1,18
Elk,is-Deer,13,30,13,1,19
Elk,like-Sika Deer,11,30,11,1,19
honey peach,like-ass,6,30,6,1,28
The sperm whale,is-Whale,17,30,17,1,19
Hen,like-rooster,12,30,12,1,18
Ewes,can-Raw Sheep,8,30,8,1,21
Ewes,is-female,8,30,8,1,21
lemon,need-Slice,6,30,6,1,16
cattle,can-plow,6,31,5.806451613,1,31
Bacon,like-Ham Sausage,7,31,6.774193548,1,18
Belt,like-Belt,6,30,6,1,22
Grape,has-Grape Skin,6,31,5.806451613,1,20
Squab,is-Pigeon,13,30,13,1,16
Mulberry,like-Blueberry,8,30,8,1,17
Hawthorn,can-appetizer,8,31,7.741935484,1,17
rat,has-hamster,6,30,6,1,21
mouse,has-wired,8,30,8,1,25
mouse,can-operate the computer,6,30,6,1,25
Honey peach,is-Juicy,6,30,6,1,28
Leech,is-Locusts,10,28,10.71428571,1,27
Carriage,has-four wheels,9,30,9,1,17
Carriage,is-carriage,7,30,7,1,17
pot,has-many shapes,6,29,6.206896552,1,16
Vulture,like-Eagle,7,28,7.5,1,16
Rabbit,need-Carrot,6,30,6,1,35
Broccoli,like-cauliflower,7,30,7,1,16
lizard,like-chameleon,10,50,6,1,30
lizard,like-Crocodile,10,50,6,1,30
cricket,is-Scorpion,6,59,3.050847458,1,24
coriander,like-celery,6,30,6,1,17
sausage,is-Ham Sausage,8,31,7.741935484,1,18
Sunflower,has-Sunflower Seed,7,31,6.774193548,1,30
A variety of Chinese cabbage,is-Green Vegetable,6,30,6,1,17
millet,can-coCan porridge,6,29,6.206896552,1,17
chimpanzee,has-Hand,6,30,6,1,18
panda,is-National Treasure,17,29,17.5862069,1,23
panda,has-black circles,8,29,8.275862069,1,23
panda,can-be viewed,7,29,7.24137931,1,23
panda,like-Selenarctos thebetanus,7,29,7.24137931,1,23
panda,need-sleep,7,29,7.24137931,1,23
duck,like-Swan,7,29,7.24137931,1,17
duck,has-webbed feet,6,29,6.206896552,1,17
mole,is-rodents,10,30,10,1,16
swallow,like-scissors,9,31,8.709677419,1,17
Alpaca,like-Camel,10,30,10,1,21
Coconut,has-coconut milk,11,30,11,1,18
hare,is-Rabbit,6,30,6,1,21
Cherry,is-Cherry,6,30,6,1,17
Cherry,need-Fresh,6,30,6,1,17
Lettuce,like-lettuce,6,30,6,1,33
fish,like-Submarine,6,30,6,1,16
spider,has-eight legs,6,30,6,1,17
nail,can-nail polish,6,30,6,1,17
nail,has-Keratin,6,30,6,1,17
